"region_administrative_et1","region_administrative_et2","nb_collab","longitude_et1","longitude_et2","latitude_et1","latitude_et2"
"saguenay_lac_saint_jean","bas_saint_laurent",1,-71.248909,-68.484619,48.389672,48.1923
"saguenay_lac_saint_jean","capitale_nationale",1,-71.248909,-71.298946,48.389672,47.376245
"saguenay_lac_saint_jean","estrie",1,-71.248909,-71.932146,48.389672,45.372704
"saguenay_lac_saint_jean","laval",1,-71.248909,-73.748455,48.389672,45.587598
"saguenay_lac_saint_jean","mauricie",6,-71.248909,-73.552008,48.389672,47.569534
"saguenay_lac_saint_jean","monteregie",40,-71.248909,-73.330627,48.389672,45.342295
"saguenay_lac_saint_jean","montreal",2,-71.248909,-73.667431,48.389672,45.495742
"outaouais","estrie",3,-76.688572,-71.932146,46.409138,45.372704
"outaouais","gaspesie_iles_de_la_madeleine",1,-76.688572,-65.0571,46.409138,48.652927
"outaouais","lanaudiere",1,-76.688572,-73.881598,46.409138,46.385263
"outaouais","laurentides",1,-76.688572,-75.164531,46.409138,46.709599
"outaouais","mauricie",1,-76.688572,-73.552008,46.409138,47.569534
"outaouais","monteregie",11,-76.688572,-73.330627,46.409138,45.342295
"montreal","bas_saint_laurent",2,-73.667431,-68.484619,45.495742,48.1923
"montreal","capitale_nationale",4,-73.667431,-71.298946,45.495742,47.376245
"montreal","centre_du_quebec",12,-73.667431,-72.154721,45.495742,46.083512
"montreal","estrie",5,-73.667431,-71.932146,45.495742,45.372704
"montreal","lanaudiere",6,-73.667431,-73.881598,45.495742,46.385263
"montreal","laurentides",2,-73.667431,-75.164531,45.495742,46.709599
"montreal","laval",10,-73.667431,-73.748455,45.495742,45.587598
"montreal","mauricie",6,-73.667431,-73.552008,45.495742,47.569534
"montreal","monteregie",36,-73.667431,-73.330627,45.495742,45.342295
"montreal","saguenay_lac_saint_jean",2,-73.667431,-71.248909,45.495742,48.389672
"monteregie","abitibi_temiscamingue",16,-73.330627,-78.066214,45.342295,47.807877
"monteregie","bas_saint_laurent",25,-73.330627,-68.484619,45.342295,48.1923
"monteregie","capitale_nationale",13,-73.330627,-71.298946,45.342295,47.376245
"monteregie","centre_du_quebec",30,-73.330627,-72.154721,45.342295,46.083512
"monteregie","estrie",100,-73.330627,-71.932146,45.342295,45.372704
"monteregie","gaspesie_iles_de_la_madeleine",14,-73.330627,-65.0571,45.342295,48.652927
"monteregie","lanaudiere",24,-73.330627,-73.881598,45.342295,46.385263
"monteregie","laurentides",24,-73.330627,-75.164531,45.342295,46.709599
"monteregie","laval",16,-73.330627,-73.748455,45.342295,45.587598
"monteregie","mauricie",54,-73.330627,-73.552008,45.342295,47.569534
"monteregie","monteregie",286,-73.330627,-73.330627,45.342295,45.342295
"monteregie","montreal",36,-73.330627,-73.667431,45.342295,45.495742
"monteregie","outaouais",11,-73.330627,-76.688572,45.342295,46.409138
"monteregie","saguenay_lac_saint_jean",40,-73.330627,-71.248909,45.342295,48.389672
"mauricie","bas_saint_laurent",12,-73.552008,-68.484619,47.569534,48.1923
"mauricie","capitale_nationale",4,-73.552008,-71.298946,47.569534,47.376245
"mauricie","centre_du_quebec",7,-73.552008,-72.154721,47.569534,46.083512
"mauricie","estrie",12,-73.552008,-71.932146,47.569534,45.372704
"mauricie","lanaudiere",1,-73.552008,-73.881598,47.569534,46.385263
"mauricie","laurentides",3,-73.552008,-75.164531,47.569534,46.709599
"mauricie","laval",1,-73.552008,-73.748455,47.569534,45.587598
"mauricie","monteregie",54,-73.552008,-73.330627,47.569534,45.342295
"mauricie","montreal",6,-73.552008,-73.667431,47.569534,45.495742
"mauricie","outaouais",1,-73.552008,-76.688572,47.569534,46.409138
"mauricie","saguenay_lac_saint_jean",6,-73.552008,-71.248909,47.569534,48.389672
"laval","estrie",8,-73.748455,-71.932146,45.587598,45.372704
"laval","laurentides",1,-73.748455,-75.164531,45.587598,46.709599
"laval","mauricie",1,-73.748455,-73.552008,45.587598,47.569534
"laval","monteregie",16,-73.748455,-73.330627,45.587598,45.342295
"laval","montreal",10,-73.748455,-73.667431,45.587598,45.495742
"laval","saguenay_lac_saint_jean",1,-73.748455,-71.248909,45.587598,48.389672
"laurentides","abitibi_temiscamingue",8,-75.164531,-78.066214,46.709599,47.807877
"laurentides","bas_saint_laurent",1,-75.164531,-68.484619,46.709599,48.1923
"laurentides","capitale_nationale",1,-75.164531,-71.298946,46.709599,47.376245
"laurentides","centre_du_quebec",1,-75.164531,-72.154721,46.709599,46.083512
"laurentides","estrie",10,-75.164531,-71.932146,46.709599,45.372704
"laurentides","gaspesie_iles_de_la_madeleine",2,-75.164531,-65.0571,46.709599,48.652927
"laurentides","lanaudiere",3,-75.164531,-73.881598,46.709599,46.385263
"laurentides","laurentides",12,-75.164531,-75.164531,46.709599,46.709599
"laurentides","laval",1,-75.164531,-73.748455,46.709599,45.587598
"laurentides","mauricie",3,-75.164531,-73.552008,46.709599,47.569534
"laurentides","monteregie",24,-75.164531,-73.330627,46.709599,45.342295
"laurentides","montreal",2,-75.164531,-73.667431,46.709599,45.495742
"laurentides","outaouais",1,-75.164531,-76.688572,46.709599,46.409138
"lanaudiere","bas_saint_laurent",1,-73.881598,-68.484619,46.385263,48.1923
"lanaudiere","capitale_nationale",6,-73.881598,-71.298946,46.385263,47.376245
"lanaudiere","centre_du_quebec",4,-73.881598,-72.154721,46.385263,46.083512
"lanaudiere","estrie",4,-73.881598,-71.932146,46.385263,45.372704
"lanaudiere","gaspesie_iles_de_la_madeleine",1,-73.881598,-65.0571,46.385263,48.652927
"lanaudiere","laurentides",3,-73.881598,-75.164531,46.385263,46.709599
"lanaudiere","mauricie",1,-73.881598,-73.552008,46.385263,47.569534
"lanaudiere","monteregie",24,-73.881598,-73.330627,46.385263,45.342295
"lanaudiere","montreal",6,-73.881598,-73.667431,46.385263,45.495742
"lanaudiere","outaouais",1,-73.881598,-76.688572,46.385263,46.409138
"gaspesie_iles_de_la_madeleine","centre_du_quebec",5,-65.0571,-72.154721,48.652927,46.083512
"gaspesie_iles_de_la_madeleine","estrie",17,-65.0571,-71.932146,48.652927,45.372704
"gaspesie_iles_de_la_madeleine","lanaudiere",1,-65.0571,-73.881598,48.652927,46.385263
"gaspesie_iles_de_la_madeleine","laurentides",2,-65.0571,-75.164531,48.652927,46.709599
"gaspesie_iles_de_la_madeleine","monteregie",14,-65.0571,-73.330627,48.652927,45.342295
"gaspesie_iles_de_la_madeleine","outaouais",1,-65.0571,-76.688572,48.652927,46.409138
"estrie","abitibi_temiscamingue",4,-71.932146,-78.066214,45.372704,47.807877
"estrie","bas_saint_laurent",11,-71.932146,-68.484619,45.372704,48.1923
"estrie","capitale_nationale",4,-71.932146,-71.298946,45.372704,47.376245
"estrie","centre_du_quebec",26,-71.932146,-72.154721,45.372704,46.083512
"estrie","estrie",83,-71.932146,-71.932146,45.372704,45.372704
"estrie","gaspesie_iles_de_la_madeleine",17,-71.932146,-65.0571,45.372704,48.652927
"estrie","lanaudiere",4,-71.932146,-73.881598,45.372704,46.385263
"estrie","laurentides",10,-71.932146,-75.164531,45.372704,46.709599
"estrie","laval",8,-71.932146,-73.748455,45.372704,45.587598
"estrie","mauricie",12,-71.932146,-73.552008,45.372704,47.569534
"estrie","monteregie",99,-71.932146,-73.330627,45.372704,45.342295
"estrie","montreal",5,-71.932146,-73.667431,45.372704,45.495742
"estrie","outaouais",3,-71.932146,-76.688572,45.372704,46.409138
"estrie","saguenay_lac_saint_jean",1,-71.932146,-71.248909,45.372704,48.389672
"centre_du_quebec","abitibi_temiscamingue",4,-72.154721,-78.066214,46.083512,47.807877
"centre_du_quebec","bas_saint_laurent",2,-72.154721,-68.484619,46.083512,48.1923
"centre_du_quebec","capitale_nationale",4,-72.154721,-71.298946,46.083512,47.376245
"centre_du_quebec","estrie",26,-72.154721,-71.932146,46.083512,45.372704
"centre_du_quebec","gaspesie_iles_de_la_madeleine",5,-72.154721,-65.0571,46.083512,48.652927
"centre_du_quebec","lanaudiere",4,-72.154721,-73.881598,46.083512,46.385263
"centre_du_quebec","laurentides",1,-72.154721,-75.164531,46.083512,46.709599
"centre_du_quebec","mauricie",7,-72.154721,-73.552008,46.083512,47.569534
"centre_du_quebec","monteregie",30,-72.154721,-73.330627,46.083512,45.342295
"centre_du_quebec","montreal",12,-72.154721,-73.667431,46.083512,45.495742
"capitale_nationale","bas_saint_laurent",4,-71.298946,-68.484619,47.376245,48.1923
"capitale_nationale","centre_du_quebec",4,-71.298946,-72.154721,47.376245,46.083512
"capitale_nationale","estrie",4,-71.298946,-71.932146,47.376245,45.372704
"capitale_nationale","lanaudiere",6,-71.298946,-73.881598,47.376245,46.385263
"capitale_nationale","laurentides",1,-71.298946,-75.164531,47.376245,46.709599
"capitale_nationale","mauricie",4,-71.298946,-73.552008,47.376245,47.569534
"capitale_nationale","monteregie",13,-71.298946,-73.330627,47.376245,45.342295
"capitale_nationale","montreal",4,-71.298946,-73.667431,47.376245,45.495742
"capitale_nationale","saguenay_lac_saint_jean",1,-71.298946,-71.248909,47.376245,48.389672
"bas_saint_laurent","capitale_nationale",4,-68.484619,-71.298946,48.1923,47.376245
"bas_saint_laurent","centre_du_quebec",2,-68.484619,-72.154721,48.1923,46.083512
"bas_saint_laurent","estrie",11,-68.484619,-71.932146,48.1923,45.372704
"bas_saint_laurent","lanaudiere",1,-68.484619,-73.881598,48.1923,46.385263
"bas_saint_laurent","laurentides",1,-68.484619,-75.164531,48.1923,46.709599
"bas_saint_laurent","mauricie",12,-68.484619,-73.552008,48.1923,47.569534
"bas_saint_laurent","monteregie",25,-68.484619,-73.330627,48.1923,45.342295
"bas_saint_laurent","montreal",2,-68.484619,-73.667431,48.1923,45.495742
"bas_saint_laurent","saguenay_lac_saint_jean",1,-68.484619,-71.248909,48.1923,48.389672
"abitibi_temiscamingue","centre_du_quebec",4,-78.066214,-72.154721,47.807877,46.083512
"abitibi_temiscamingue","estrie",4,-78.066214,-71.932146,47.807877,45.372704
"abitibi_temiscamingue","laurentides",8,-78.066214,-75.164531,47.807877,46.709599
"abitibi_temiscamingue","monteregie",16,-78.066214,-73.330627,47.807877,45.342295
